,DAYS,STATION_LINE,TOTAL_TRAFFIC
691,Monday,BEVERLEY ROAD BQ,48859.0
745,Monday,CROWN HTS-UTICA 34,48768.0
776,Monday,FRANKLIN ST 1,48698.0
725,Monday,CHAMBERS ST JZ456,48688.0
743,Monday,COURT SQ-23 ST EMG,48590.0
716,Monday,CANARSIE-ROCKAW L,48515.0
653,Monday,ASTOR PL 6,48459.0
741,Monday,COURT SQ 7,48081.0
781,Monday,FT HAMILTON PKY N,48065.0
674,Monday,BAY RIDGE AV R,47840.0
682,Monday,BEACH 67 ST A,47236.0
816,Monday,JAY ST-METROTEC R,47120.0
634,Monday,85 ST-FOREST PK J,47092.0
727,Monday,CHRISTOPHER ST 1,47001.0
577,Monday,39 AV NQW,46913.0
830,Monday,KINGSTON-THROOP C,46811.0
895,Monday,PROSPECT AV R,46640.0
613,Monday,69 ST 7,46596.0
585,Monday,46 ST MR,45911.0
840,Monday,LORIMER ST JM,45907.0
705,Monday,BROADWAY NQW,45876.0
697,Monday,BOWERY JZ,45488.0
722,Monday,CENTRAL PK N110 23,45301.0
868,Monday,NEWARK HM HE 1,45266.0
920,Monday,STEINWAY ST MR,45225.0
780,Monday,FT HAMILTON PKY FG,45159.0
548,Monday,219 ST 25,45125.0
664,Monday,AVENUE P F,44962.0
847,Monday,MIDDLETOWN RD 6,44868.0
681,Monday,BEACH 60 ST A,44762.0
726,Monday,CHAUNCEY ST JZ,44705.0
675,Monday,BAY RIDGE-95 ST R,44699.0
772,Monday,FOREST AVE M,44589.0
755,Monday,E 149 ST 6,44279.0
710,Monday,BURKE AV 25,44053.0
801,Monday,HEWES ST JM,43665.0
861,Monday,NEREID AV 25,43597.0
803,Monday,HOUSTON ST 1,43571.0
588,Monday,4AV-9 ST DFGMNR,43545.0
765,Monday,FAR ROCKAWAY A,43118.0
946,Monday,WEST FARMS SQ 25,42534.0
906,Monday,ROCKAWAY BLVD A,42482.0
763,Monday,EUCLID AV AC,42340.0
945,Monday,WALL ST 45,42108.0
779,Monday,FT HAMILTON PKY D,42034.0
828,Monday,KINGSBRIDGE RD BD,41922.0
952,Monday,WOODHAVEN BLVD JZ,41780.0
702,Monday,BROAD ST JZ,41743.0
623,Monday,75 ST-ELDERTS JZ,41584.0
957,Monday,ZEREGA AV 6,41473.0
489,Monday,111 ST J,41282.0
670,Monday,BAY 50 ST D,41081.0
910,Monday,SENECA AVE M,40588.0
901,Monday,RECTOR ST NRW,40496.0
746,Monday,CYPRESS AV 6,40466.0
599,Monday,57 ST F,40253.0
