,DAYS,STATION_LINE,TOTAL_TRAFFIC
2453,Tuesday,182-183 STS BD,63933.0
2434,Tuesday,161/YANKEE STAD BD4,63626.0
2460,Tuesday,207 ST 1,63594.0
2834,Tuesday,ST LAWRENCE AV 6,62531.0
2525,Tuesday,65 ST MR,62278.0
2785,Tuesday,NEWARK HW BMEBE 1,61054.0
2465,Tuesday,225 ST 25,60703.0
2443,Tuesday,174 ST 25,60334.0
2612,Tuesday,BOTANIC GARDEN S2345,59756.0
2637,Tuesday,CENTRAL AV M,59433.0
2644,Tuesday,CHURCH AV 25,59147.0
2760,Tuesday,METROPOLITAN AV GL,58991.0
2867,Tuesday,WINTHROP ST 25,58718.0
2721,Tuesday,HOYT ST 23,58647.0
2640,Tuesday,CHAMBERS ST ACE23,57909.0
2551,Tuesday,86 ST 1,57702.0
2815,Tuesday,RALPH AV C,57618.0
2821,Tuesday,ROCKAWAY AV C,57286.0
2820,Tuesday,ROCKAWAY AV 3,57149.0
2767,Tuesday,MORRIS PARK 5,57105.0
2510,Tuesday,50 ST D,56930.0
2689,Tuesday,FOREST HILLS 71 EFMR,56721.0
2643,Tuesday,CHRISTOPHER ST 1,56616.0
2446,Tuesday,176 ST 4,56434.0
2414,Tuesday,125 ST ACBD,56406.0
2692,Tuesday,FRANKLIN ST 1,56223.0
2705,Tuesday,GRAND ST L,56008.0
2828,Tuesday,SHEPHERD AV C,55388.0
2831,Tuesday,SOUTH FERRY 1RW,55182.0
2557,Tuesday,88 ST A,55072.0
2584,Tuesday,AVENUE X F,54804.0
2489,Tuesday,34 ST-PENN STA ACE,54750.0
2641,Tuesday,CHAMBERS ST JZ456,54456.0
2520,Tuesday,59 ST NQR456W,54004.0
2659,Tuesday,COURT SQ-23 ST EMG,53746.0
2801,Tuesday,PATH NEW WTC 1,53716.0
2855,Tuesday,VAN SICLEN AVE C,53659.0
2569,Tuesday,ASTOR PL 6,53408.0
2628,Tuesday,BUSHWICK AV L,53268.0
2623,Tuesday,BROOK AV 6,53156.0
2759,Tuesday,MARCY AV JMZ,53106.0
2609,Tuesday,BLEECKER ST 6DF,53001.0
2824,Tuesday,ROOSEVELT ISLND F,52849.0
2714,Tuesday,HALSEY ST L,52462.0
2608,Tuesday,BEVERLY RD 25,52449.0
2693,Tuesday,FREEMAN ST 25,52377.0
2727,Tuesday,JACKSON AV 25,52091.0
2607,Tuesday,BEVERLEY ROAD BQ,51951.0
2533,Tuesday,71 ST D,51818.0
2661,Tuesday,CROWN HTS-UTICA 34,51730.0
2594,Tuesday,BEACH 25 ST A,51703.0
2430,Tuesday,155 ST BD,51633.0
2697,Tuesday,FT HAMILTON PKY N,51566.0
2732,Tuesday,JAY ST-METROTEC R,51555.0
2784,Tuesday,NEWARK HM HE 1,51544.0
2472,Tuesday,233 ST 25,51476.0
2632,Tuesday,CANARSIE-ROCKAW L,51121.0
2771,Tuesday,MYRTLE-WILLOUGH G,51068.0
2811,Tuesday,PROSPECT AV R,50935.0
2657,Tuesday,COURT SQ 7,50168.0
2773,Tuesday,NASSAU AV G,50116.0
2763,Tuesday,MIDDLETOWN RD 6,49972.0
2590,Tuesday,BAY RIDGE AV R,49940.0
2638,Tuesday,CENTRAL PK N110 23,49391.0
2621,Tuesday,BROADWAY NQW,49372.0
2746,Tuesday,KINGSTON-THROOP C,49275.0
2493,Tuesday,39 AV NQW,49196.0
2719,Tuesday,HOUSTON ST 1,49097.0
2550,Tuesday,85 ST-FOREST PK J,48864.0
2598,Tuesday,BEACH 67 ST A,48778.0
2591,Tuesday,BAY RIDGE-95 ST R,48652.0
2836,Tuesday,STEINWAY ST MR,48506.0
2861,Tuesday,WALL ST 45,48356.0
2696,Tuesday,FT HAMILTON PKY FG,48320.0
2529,Tuesday,69 ST 7,48047.0
2688,Tuesday,FOREST AVE M,47304.0
2756,Tuesday,LORIMER ST JM,47257.0
2464,Tuesday,219 ST 25,47018.0
2504,Tuesday,4AV-9 ST DFGMNR,46982.0
2777,Tuesday,NEREID AV 25,46958.0
2580,Tuesday,AVENUE P F,46853.0
2671,Tuesday,E 149 ST 6,46704.0
2642,Tuesday,CHAUNCEY ST JZ,46583.0
2626,Tuesday,BURKE AV 25,46318.0
2717,Tuesday,HEWES ST JM,45967.0
2597,Tuesday,BEACH 60 ST A,45945.0
2515,Tuesday,57 ST F,45909.0
2681,Tuesday,FAR ROCKAWAY A,45566.0
2618,Tuesday,BROAD ST JZ,45220.0
2822,Tuesday,ROCKAWAY BLVD A,45065.0
2613,Tuesday,BOWERY JZ,45036.0
2873,Tuesday,ZEREGA AV 6,44631.0
2679,Tuesday,EUCLID AV AC,44581.0
2501,Tuesday,46 ST MR,44438.0
2605,Tuesday,BERGEN ST 23,44006.0
2817,Tuesday,RECTOR ST NRW,43985.0
2868,Tuesday,WOODHAVEN BLVD JZ,43746.0
2405,Tuesday,111 ST J,43712.0
2539,Tuesday,75 ST-ELDERTS JZ,43685.0
2586,Tuesday,BAY 50 ST D,43115.0
2871,Tuesday,WORLD TRADE CTR ACE23,43089.0
2862,Tuesday,WEST FARMS SQ 25,42691.0
2656,Tuesday,CORTLANDT ST RNW,42615.0
2826,Tuesday,SENECA AVE M,42486.0
2662,Tuesday,CYPRESS AV 6,42385.0
2744,Tuesday,KINGSBRIDGE RD BD,42340.0
2695,Tuesday,FT HAMILTON PKY D,42256.0
2624,Tuesday,BROOKLYN BRIDGE 456JZ,40378.0
2712,Tuesday,GUN HILL RD 5,40354.0
2796,Tuesday,PARK PLACE 23ACE,39668.0
2797,Tuesday,PARK PLACE S,39666.0
2742,Tuesday,KINGS HWY N,39355.0
2658,Tuesday,COURT SQ EMG,39285.0
