,DAYS,STATION_LINE,TOTAL_TRAFFIC
1688,Sunday,CHURCH AV FG,5.0
1847,Sunday,PELHAM PKWY 25,4.0
1885,Sunday,THIRTY THIRD ST 1,4.0
1709,Sunday,DITMAS AV F,2.0
1446,Sunday,111 ST A,2.0
1842,Sunday,PARSONS BLVD F,2.0
1782,Sunday,KINGS HWY BQ,2.0
1621,Sunday,AVENUE N F,1.0
1880,Sunday,SUTPHIN BLVD F,1.0
1589,Sunday,80 ST A,1.0
