,DAYS,STATION_LINE,TOTAL_TRAFFIC
2347,Thursday,SENECA AVE M,44512.0
2107,Thursday,BAY 50 ST D,44426.0
1926,Thursday,111 ST J,44339.0
2265,Thursday,KINGSBRIDGE RD BD,43770.0
2200,Thursday,EUCLID AV AC,43748.0
2177,Thursday,CORTLANDT ST RNW,43665.0
2233,Thursday,GUN HILL RD 5,43398.0
2383,Thursday,WEST FARMS SQ 25,42966.0
2183,Thursday,CYPRESS AV 6,42828.0
2216,Thursday,FT HAMILTON PKY D,42141.0
2145,Thursday,BROOKLYN BRIDGE 456JZ,41860.0
2318,Thursday,PARK PLACE S,41009.0
2282,Thursday,METROPOLITAN AV M,40592.0
2263,Thursday,KINGS HWY N,40310.0
2363,Thursday,THIRTY ST 1,39966.0
2317,Thursday,PARK PLACE 23ACE,39803.0
2289,Thursday,MOSHOLU PKWY 4,39121.0
2179,Thursday,COURT SQ EMG,39054.0
2080,Thursday,90 ST-ELMHURST 7,38306.0
2227,Thursday,GRAND-NEWTOWN MR,37814.0
2328,Thursday,PENNSYLVANIA AV 3,37513.0
2276,Thursday,LONGWOOD AV 6,37407.0
2215,Thursday,FRESH POND RD M,37282.0
2150,Thursday,CANAL ST 1,36927.0
2132,Thursday,BOROUGH HALL R2345,36893.0
2340,Thursday,RIT-ROOSEVELT R,36751.0
2375,Thursday,VAN SICLEN AV JZ,36588.0
2127,Thursday,BERGEN ST FG,36579.0
2098,Thursday,AVENUE J BQ,36542.0
2034,Thursday,53 ST R,36426.0
2143,Thursday,BRONX PARK EAST 25,36276.0
2035,Thursday,55 ST D,36255.0
2244,Thursday,HUNTERS PT AV 7,35836.0
2327,Thursday,PELHAM PKWY 5,35741.0
2170,Thursday,CLARK ST 23,35408.0
2173,Thursday,CLINTON-WASH AV C,35361.0
1982,Thursday,21 ST G,35271.0
2212,Thursday,FRANKLIN AV ACS,35081.0
1956,Thursday,163 ST-AMSTERDM C,35024.0
2274,Thursday,LIBERTY AV C,34344.0
2104,Thursday,AVENUE U N,33714.0
2113,Thursday,BAYCHESTER AV 5,33617.0
2255,Thursday,JFK JAMAICA CT1 E,33238.0
2296,Thursday,NECK RD BQ,33203.0
2154,Thursday,CARROLL ST FG,33037.0
2196,Thursday,EASTCHSTER/DYRE 5,32896.0
1922,Thursday,104 ST JZ,32887.0
2168,Thursday,CITY / BUS 1,32159.0
1965,Thursday,174-175 STS BD,32122.0
1963,Thursday,170 ST BD,31551.0
1929,Thursday,116 ST BC,30944.0
2097,Thursday,AVENUE I F,30744.0
1952,Thursday,155 ST C,30375.0
