,DAYS,STATION_LINE,TOTAL_TRAFFIC
203,Friday,BEACH 67 ST A,47670.0
406,Friday,PATH NEW WTC 1,47431.0
322,Friday,HEWES ST JM,47142.0
231,Friday,BURKE AV 25,47018.0
324,Friday,HOUSTON ST 1,46767.0
276,Friday,E 149 ST 6,46724.0
196,Friday,BAY RIDGE-95 ST R,46129.0
134,Friday,69 ST 7,46104.0
293,Friday,FOREST AVE M,45896.0
202,Friday,BEACH 60 ST A,45775.0
382,Friday,NEREID AV 25,45740.0
109,Friday,4AV-9 ST DFGMNR,45431.0
476,Friday,WORLD TRADE CTR ACE23,45342.0
366,Friday,METROPOLITAN AV M,45228.0
427,Friday,ROCKAWAY BLVD A,44965.0
185,Friday,AVENUE P F,44936.0
120,Friday,57 ST F,44919.0
106,Friday,46 ST MR,44617.0
300,Friday,FT HAMILTON PKY D,44543.0
210,Friday,BERGEN ST 23,44484.0
337,Friday,JAY ST-METROTEC R,44458.0
467,Friday,WEST FARMS SQ 25,43691.0
286,Friday,FAR ROCKAWAY A,43685.0
440,Friday,ST. GEORGE 1,43289.0
473,Friday,WOODHAVEN BLVD JZ,43257.0
223,Friday,BROAD ST JZ,42967.0
191,Friday,BAY 50 ST D,42865.0
349,Friday,KINGSBRIDGE RD BD,42804.0
10,Friday,111 ST J,42667.0
431,Friday,SENECA AVE M,42563.0
478,Friday,ZEREGA AV 6,42461.0
373,Friday,MOSHOLU PKWY 4,42351.0
144,Friday,75 ST-ELDERTS JZ,42323.0
422,Friday,RECTOR ST NRW,42224.0
387,Friday,NEWARK BM BW 1,42034.0
267,Friday,CYPRESS AV 6,41966.0
261,Friday,CORTLANDT ST RNW,41139.0
317,Friday,GUN HILL RD 5,40592.0
402,Friday,PARK PLACE S,38905.0
6,Friday,104 ST JZ,38390.0
452,Friday,TOMPKINSVILLE 1,38155.0
339,Friday,JFK JAMAICA CT1 E,37624.0
412,Friday,PENNSYLVANIA AV 3,37454.0
311,Friday,GRAND-NEWTOWN MR,37142.0
229,Friday,BROOKLYN BRIDGE 456JZ,36869.0
118,Friday,53 ST R,36700.0
347,Friday,KINGS HWY N,36625.0
459,Friday,VAN SICLEN AV JZ,36387.0
424,Friday,RIT-ROOSEVELT R,36279.0
315,Friday,GROVE STREET 1,36274.0
164,Friday,90 ST-ELMHURST 7,36004.0
227,Friday,BRONX PARK EAST 25,35946.0
390,Friday,NEWARK HW BMEBE 1,35572.0
360,Friday,LONGWOOD AV 6,35559.0
211,Friday,BERGEN ST FG,35012.0
216,Friday,BOROUGH HALL R2345,34933.0
299,Friday,FRESH POND RD M,34872.0
257,Friday,CLINTON-WASH AV C,34762.0
66,Friday,21 ST G,34756.0
296,Friday,FRANKLIN AV ACS,34749.0
401,Friday,PARK PLACE 23ACE,34494.0
234,Friday,CANAL ST 1,34082.0
142,Friday,74 ST-BROADWAY 7EFMR,34062.0
263,Friday,COURT SQ EMG,33855.0
254,Friday,CLARK ST 23,33759.0
238,Friday,CARROLL ST FG,33252.0
182,Friday,AVENUE J BQ,33098.0
