,DAYS,STATION_LINE,TOTAL_TRAFFIC
1357,Saturday,ORCHARD BEACH 6,56.0
1131,Saturday,AQUEDUCT RACETR A,29.0
990,Saturday,149/GRAND CONC 245,24.0
1289,Saturday,INWOOD-207 ST A,14.0
1031,Saturday,23 ST CE,13.0
1368,Saturday,PELHAM PKWY 25,11.0
1110,Saturday,80 ST A,9.0
1363,Saturday,PARSONS BLVD F,9.0
992,Saturday,15 ST-PROSPECT FG,8.0
1000,Saturday,167 ST BD,8.0
1230,Saturday,DITMAS AV F,7.0
1002,Saturday,168 ST AC1,6.0
1406,Saturday,THIRTY THIRD ST 1,5.0
1209,Saturday,CHURCH AV FG,5.0
967,Saturday,111 ST A,3.0
979,Saturday,135 ST BC,1.0
1303,Saturday,KINGS HWY BQ,0.0
1142,Saturday,AVENUE N F,0.0
